pl	lx	note
My partykuła posiadania/określenia żniwa.	lano zhai zhen-zhe.	synthetic
On/ona wiedzieć sui-Tun pewno.	cou ga reng-bin.	synthetic
Ja słuchać ciemność	ao fu ting-gua mo	synthetic
Ty wiedzieć piwonia biała.	nio ga qi-chuan.	synthetic
My mówić szelest.	lano bi zhen-ba.	synthetic
Jeśli ty jeść badania, ty pić woda.	jiao nio ji wen-bei, nio ju zhe.	synthetic
Ty partykuła posiadania/określenia tajfun.	nio zhai fengo-chou.	synthetic
My negacja (nie) wiedzieć czapla biała.	lano daoo ga te-bian.	synthetic
My partykuła posiadania/określenia rynek.	lano zhai bao-shao.	synthetic
On/ona negacja (nie) słuchać przyjmować (gości).	cou daoo fu gao-feng.	synthetic
Ja negacja (nie) wiedzieć dowódca wojskowy.	ao daoo ga zhuai-shen.	synthetic
Jeśli ja jeść tamci, ja pić woda.	jiao ao ji hu-dou, ao ju zhe.	synthetic
Ty słuchać mało	nio fu min mo	synthetic
Ty negacja (nie) pić deszcz.	nio daoo ju yuo.	synthetic
My partykuła posiadania/określenia miska.	lano zhai gong.	synthetic
Jeśli on/ona jeść zacząć, on/ona pić woda.	jiao cou ji te, cou ju zhe.	synthetic
Ja partykuła posiadania/określenia księżniczka.	ao zhai guo-jiao.	synthetic
Jeśli ty jeść pasmo górskie, ty pić woda.	jiao nio ji he-shuang, nio ju zhe.	synthetic
My słuchać brama (budowla)	lano fu rong-ji mo	synthetic
On/ona pić zamknąć	cou ju tao mo	synthetic
Ty słuchać deszcz	nio fu yuo mo	synthetic
Jeśli my jeść łączyć, jednoczyć, my pić woda.	jiao lano ji duo-mian, lano ju zhe.	synthetic
Jeśli ty jeść pigułka, ty pić woda.	jiao nio ji fu-suan, nio ju zhe.	synthetic
My pić statek, łódź.	lano ju ha-jing.	synthetic
Ja wiedzieć czarna herbata	ao ga gango-min mo	synthetic
Jeśli ty jeść połykać, ty pić woda.	jiao nio ji peng-tan, nio ju zhe.	synthetic
On/ona mówić mikroskopijny.	cou bi li-gei-ka.	synthetic
On/ona negacja (nie) wiedzieć terapia.	cou daoo ga yang-zhai.	synthetic
On/ona negacja (nie) pić nosorożec.	cou daoo ju ruo-nie.	synthetic
Ty negacja (nie) słuchać zapisywać, rejestrować.	nio daoo fu bian-deng.	synthetic
On/ona pić kochać.	cou ju quo.	synthetic
Jeśli on/ona jeść czajnik, on/ona pić woda.	jiao cou ji xing-bu-sa, cou ju zhe.	synthetic
My partykuła posiadania/określenia pasmo górskie.	lano zhai he-shuang.	synthetic
On/ona negacja (nie) mówić niedobór nerek.	cou daoo bi sa-can.	synthetic
Jeśli my jeść górska ścieżka, my pić woda.	jiao lano ji sheng-bai, lano ju zhe.	synthetic
Ty słuchać wyspa.	nio fu haio-mei.	synthetic
Ja słuchać rodzina od żony	ao fu miao-xuan mo	synthetic
Ja negacja (nie) słuchać woda.	ao daoo fu zhe.	synthetic
Ja partykuła posiadania/określenia ogień serca.	ao zhai cuo-hui.	synthetic
My negacja (nie) pić futro.	lano daoo ju zhao-shui.	synthetic
On/ona jeść pasmo górskie	cou ji he-shuang mo	synthetic
My pić czekać	lano ju wa mo	synthetic
Ja pić też	ao ju yueo mo	synthetic
My negacja (nie) słuchać pigułka.	lano daoo fu fu-suan.	synthetic
Ja negacja (nie) słuchać walka.	ao daoo fu luo-di.	synthetic
Jeśli ty jeść często, ty pić woda.	jiao nio ji nang-diao, nio ju zhe.	synthetic
My pić średni.	lano ju zhi-re.	synthetic
Jeśli my jeść krew, my pić woda.	jiao lano ji cong, lano ju zhe.	synthetic
Ty negacja (nie) jeść rzeźbiarz.	nio daoo ji diao-ren.	synthetic
My negacja (nie) mówić syndrom nadmiaru.	lano daoo bi che-ao.	synthetic
Ty wiedzieć ogień	nio ga zha mo	synthetic
Ja negacja (nie) pić badania.	ao daoo ju wen-bei.	synthetic
Ty pić wschód słońca.	nio ju keng-la.	synthetic
Ty słuchać odmrożenie	nio fu lu-qing mo	synthetic
Ja pić zdenerwowany, spięty	ao ju nun-zhuo mo	synthetic
Jeśli on/ona jeść bodhisattwa, on/ona pić woda.	jiao cou ji pan-gong, cou ju zhe.	synthetic
Ja mówić kałamarnica	ao bi tou-chun mo	synthetic
Ty jeść głęboki	nio ji cui-ca mo	synthetic
My negacja (nie) mówić umowa.	lano daoo bi yong-huo.	synthetic
My partykuła posiadania/określenia osa.	lano zhai mio-xiu.	synthetic
Jeśli ja jeść dać, ja pić woda.	jiao ao ji dio, ao ju zhe.	synthetic
Ja partykuła posiadania/określenia starożytna.	ao zhai hun-bang.	synthetic
Ty partykuła posiadania/określenia punkt akupunkturowy.	nio zhai yang-nue.	synthetic
Ja partykuła posiadania/określenia lato.	ao zhai yan-ang.	synthetic
On/ona partykuła posiadania/określenia dorsz żółty.	cou zhai dongo-huan.	synthetic
My słuchać kaczka mandarynka (para).	lano fu yamo-ma.	synthetic
Ja jeść patrzeć.	ao ji fa.	synthetic
On/ona negacja (nie) wiedzieć świat.	cou daoo ga fa-gu.	synthetic
Ja negacja (nie) wiedzieć nudny.	ao daoo ga zhen-tuo.	synthetic
My wiedzieć wzrok.	lano ga zui-ka.	synthetic
Ty pić autorytet	nio ju run-hai mo	synthetic
Ty pić śmieć.	nio ju zeng-reng.	synthetic
Ja pić suknia ślubna.	ao ju bie-pang.	synthetic
Ja mówić zasady Niebios.	ao bi se-lei.	synthetic
Jeśli on/ona jeść płaski, on/ona pić woda.	jiao cou ji cheng-gang, cou ju zhe.	synthetic
Ja mówić osiem	ao bi xun-sun mo	synthetic
My negacja (nie) mówić czysty.	lano daoo bi cha-hui.	synthetic
Ja negacja (nie) słuchać kapusta chińska.	ao daoo fu caio-dou.	synthetic
Ty negacja (nie) pić syndrom nadmiaru.	nio daoo ju che-ao.	synthetic
Jeśli on/ona jeść tyka, drążek, on/ona pić woda.	jiao cou ji miu-nin, cou ju zhe.	synthetic
My partykuła posiadania/określenia bakłażan.	lano zhai zhan-ti.	synthetic
My partykuła posiadania/określenia bogactwo.	lano zhai rong-cang.	synthetic
Ty wiedzieć pyłek kwiatowy	nio ga xie-ga mo	synthetic
Jeśli on/ona jeść aksamitny, on/ona pić woda.	jiao cou ji zang-fou, cou ju zhe.	synthetic
Ty jeść dowódca wojskowy.	nio ji zhuai-shen.	synthetic
Jeśli my jeść szeroki, my pić woda.	jiao lano ji bei-hui, lano ju zhe.	synthetic
On/ona negacja (nie) słuchać deszcz zbóż.	cou daoo fu yuo-ben.	synthetic
Jeśli ty jeść szorować, ty pić woda.	jiao nio ji cong-lou, nio ju zhe.	synthetic
On/ona partykuła posiadania/określenia znaczenie, sens.	cou zhai kun-hong.	synthetic
On/ona partykuła posiadania/określenia sala Buddy.	cou zhai ma-chao.	synthetic
Ja słuchać gdzie.	ao fu hen-yuan.	synthetic
My partykuła posiadania/określenia palić kadzidło.	lano zhai feng-zhuan.	synthetic
On/ona wiedzieć osmanthus	cou ga xue-yi mo	synthetic
Jeśli on/ona jeść szanowny pan, on/ona pić woda.	jiao cou ji muo-song, cou ju zhe.	synthetic
Ja negacja (nie) mówić dzika trawa.	ao daoo bi xino-piao.	synthetic
Jeśli ty jeść perła, ty pić woda.	jiao nio ji kang-eng, nio ju zhe.	synthetic
Jeśli ja jeść wózek, ja pić woda.	jiao ao ji zan-ning, ao ju zhe.	synthetic
My negacja (nie) wiedzieć choroba (formalne).	lano daoo ga mian-lue.	synthetic
Jeśli ty jeść armia, ty pić woda.	jiao nio ji wu-xuan, nio ju zhe.	synthetic
My partykuła posiadania/określenia powodzenia.	lano zhai liu-hu.	synthetic
Ty pić syndrom gorąca	nio ju qio-mian mo	synthetic
On/ona partykuła posiadania/określenia ochrona środowiska.	cou zhai wen-dai.	synthetic
Ja jeść statek, łódź.	ao ji ha-jing.	synthetic
Ja słuchać źrebię	ao fu bian-kang mo	synthetic
My mówić ukośna w lewo.	lano bi nin-ding.	synthetic
Ty słuchać przeciwstawiać	nio fu lang-tuan mo	synthetic
My negacja (nie) słuchać rozbierać się.	lano daoo fu san-zei.	synthetic
My jeść oparzenie	lano ji ni-gu mo	synthetic
Ty negacja (nie) mówić powrócić.	nio daoo bi shuai-nu.	synthetic
Jeśli ja jeść proszę wejść, ja pić woda.	jiao ao ji hua-kuo, ao ju zhe.	synthetic
Ty negacja (nie) jeść Cesarzowa wdowa.	nio daoo ji tie-dei.	synthetic
Ty słuchać uśmiechać się.	nio fu tao-bin.	synthetic
Jeśli on/ona jeść mikroskopijny, on/ona pić woda.	jiao cou ji li-gei-ka, cou ju zhe.	synthetic
Ja negacja (nie) jeść rozpacz.	ao daoo ji beio-dei.	synthetic
Ja słuchać gorący.	ao fu weno-eng.	synthetic
Jeśli ja jeść przygotowywać, ja pić woda.	jiao ao ji jio-diu, ao ju zhe.	synthetic
My partykuła posiadania/określenia marchew.	lano zhai caio-pian.	synthetic
Jeśli ja jeść próby, trudne testy, ja pić woda.	jiao ao ji kuo-nie-gui, ao ju zhe.	synthetic
Jeśli my jeść młotek, my pić woda.	jiao lano ji chuang-xi, lano ju zhe.	synthetic
My negacja (nie) słuchać delfin.	lano daoo fu haio-qiu.	synthetic
My jeść przekazywać	lano ji jie-wu mo	synthetic
My jeść statek, łódź	lano ji ha-jing mo	synthetic
Jeśli ty jeść relacja, związek, ty pić woda.	jiao nio ji zan-ren, nio ju zhe.	synthetic
Ja partykuła posiadania/określenia uczeń, adept.	ao zhai ma-cha.	synthetic
My partykuła posiadania/określenia daktyl chiński.	lano zhai zu-ji.	synthetic
Ja słuchać wachlarz.	ao fu du-luo.	synthetic
On/ona negacja (nie) słuchać wszystko.	cou daoo fu wano.	synthetic
Ty wiedzieć wóz, pojazd	nio ga quan-wa mo	synthetic
Ja jeść wino.	ao ji geng.	synthetic
On/ona pić hafciarka	cou ju nai-fen mo	synthetic
My mówić piętro, warstwa	lano bi cuo-pang mo	synthetic
Jeśli on/ona jeść Pęcherz moczowy (organ TCM), on/ona pić woda.	jiao cou ji seng-da, cou ju zhe.	synthetic
My pić młotek	lano ju chuang-xi mo	synthetic
Ty negacja (nie) słuchać prowadzić.	nio daoo fu ang-yong.	synthetic
On/ona słuchać tymczasowy	cou fu luo-gai mo	synthetic
Ty negacja (nie) wiedzieć cienkość.	nio daoo ga shuio.	synthetic
Ty mówić produkty mleczne	nio bi xue-xian mo	synthetic
On/ona partykuła posiadania/określenia leżeć.	cou zhai jun-liu.	synthetic
My pić machać ręką.	lano ju kun-beng.	synthetic
On/ona partykuła posiadania/określenia erupcja.	cou zhai guai-suan.	synthetic
On/ona partykuła posiadania/określenia świnia.	cou zhai tuno-zhun.	synthetic
Jeśli ty jeść zdenerwowany, spięty, ty pić woda.	jiao nio ji nun-zhuo, nio ju zhe.	synthetic
Ty słuchać uspokojony	nio fu qian-shen mo	synthetic
My jeść dobry przyjaciel	lano ji de-wu mo	synthetic
Ty negacja (nie) wiedzieć zobaczyć.	nio daoo ga bie-pian.	synthetic
Jeśli on/ona jeść więc, on/ona pić woda.	jiao cou ji suo, cou ju zhe.	synthetic
On/ona negacja (nie) jeść iść szybko.	cou daoo ji tuan-re.	synthetic
My wiedzieć zasoby.	lano ga beng-rou.	synthetic
On/ona jeść pasmo górskie.	cou ji he-shuang.	synthetic
On/ona negacja (nie) wiedzieć odmrożenie.	cou daoo ga lu-qing.	synthetic
Ja pić pocieszenie, ukojenie	ao ju yin-gai mo	synthetic
On/ona partykuła posiadania/określenia dudnienie.	cou zhai zhuang-gua.	synthetic
Ty negacja (nie) jeść wino.	nio daoo ji geng.	synthetic
My mówić przedstawiać (kogoś).	lano bi fou-duan.	synthetic
On/ona słuchać obracać się.	cou fu ha-ga.	synthetic
Jeśli ty jeść smarować (farbą), ty pić woda.	jiao nio ji qie-wa, nio ju zhe.	synthetic
On/ona wiedzieć mikroskopijny	cou ga li-gei-ka mo	synthetic
Jeśli on/ona jeść kontaktować się, on/ona pić woda.	jiao cou ji ding-hui, cou ju zhe.	synthetic
On/ona jeść osa	cou ji mio-xiu mo	synthetic
My mówić garnitur.	lano bi bie-wa.	synthetic
Ja jeść narracja, opowiadanie	ao ji chi-cong mo	synthetic
Jeśli ja jeść punkt akupunkturowy, ja pić woda.	jiao ao ji yang-nue, ao ju zhe.	synthetic
On/ona jeść dobry przyjaciel	cou ji de-wu mo	synthetic
Ty negacja (nie) mówić nudny.	nio daoo bi zhen-tuo.	synthetic
Ja pić wschód słońca	ao ju keng-la mo	synthetic
Jeśli ja jeść łóżko, ja pić woda.	jiao ao ji zhai-lie, ao ju zhe.	synthetic
Ty partykuła posiadania/określenia czapla biała.	nio zhai te-bian.	synthetic
Ja negacja (nie) pić produkty mleczne.	ao daoo ju xue-xian.	synthetic
My negacja (nie) jeść wino.	lano daoo ji geng.	synthetic
On/ona negacja (nie) słuchać kino.	cou daoo fu xiang-ba.	synthetic
Ty negacja (nie) wiedzieć zwierzęta wymarłe.	nio daoo ga dongo-lian.	synthetic
My negacja (nie) jeść wół.	lano daoo ji bing-wo.	synthetic
Ja słuchać znaczenie, sens	ao fu kun-hong mo	synthetic
Jeśli ty jeść wzdychać, ty pić woda.	jiao nio ji liao-qiao, nio ju zhe.	synthetic
On/ona mówić siódmy	cou bi yue-cu mo	synthetic
On/ona wiedzieć jajko stulecia.	cou ga guai-can.	synthetic
On/ona negacja (nie) jeść potrząsać, kiwać.	cou daoo ji piao-ju.	synthetic
On/ona partykuła posiadania/określenia czcigodny (dla władców/bóstw).	cou zhai si-mu.	synthetic
Ja negacja (nie) pić taczka.	ao daoo ju xu-gan-dei.	synthetic
On/ona partykuła posiadania/określenia dokładać drewna.	cou zhai tuo-lin.	synthetic
Jeśli ty jeść czytać, ty pić woda.	jiao nio ji mi, nio ju zhe.	synthetic
My mówić autorytet.	lano bi run-hai.	synthetic
Ja mówić pismo urzędowe	ao bi muo-niu mo	synthetic
Jeśli ty jeść szczęście, ty pić woda.	jiao nio ji huano, nio ju zhe.	synthetic
Jeśli ja jeść ból pleców, ja pić woda.	jiao ao ji sou-zhui, ao ju zhe.	synthetic
My partykuła posiadania/określenia wicehrabia.	lano zhai ruo-zei.	synthetic
Ja partykuła posiadania/określenia starszy współuczeń (mężczyzna).	ao zhai ma-xie.	synthetic
Ja partykuła posiadania/określenia hałaśliwy.	ao zhai kuang-hen.	synthetic
Ty pić rynek.	nio ju bao-shao.	synthetic
Ty partykuła posiadania/określenia zamknąć.	nio zhai tao.	synthetic
Ja partykuła posiadania/określenia gołąb.	ao zhai geo-ku.	synthetic
Ja słuchać myć twarz	ao fu cha-huai mo	synthetic
Ja negacja (nie) wiedzieć lewa strona.	ao daoo ga kuo-shuai.	synthetic
Ty partykuła posiadania/określenia ubierać się.	nio zhai jie-fo.	synthetic
Jeśli on/ona jeść trzeci, on/ona pić woda.	jiao cou ji se-duan, cou ju zhe.	synthetic
On/ona partykuła posiadania/określenia trochę.	cou zhai xun.	synthetic
On/ona wiedzieć palec u ręki.	cou ga qia-fo.	synthetic
Ty wiedzieć płakać, łkać	nio ga beio-miu mo	synthetic
Ja słuchać rzeźba.	ao fu ming-qi.	synthetic
On/ona negacja (nie) mówić przyjmować (gości).	cou daoo bi gao-feng.	synthetic
Ty mówić pocieszenie, ukojenie.	nio bi yin-gai.	synthetic
My pić mit	lano ju huai-bing mo	synthetic
My jeść żółty ziemisty	lano ji nou-gang mo	synthetic
Ty jeść mit.	nio ji huai-bing.	synthetic
My pić gra.	lano ju fen-qiu.	synthetic
On/ona negacja (nie) pić ukończyć.	cou daoo ju lei-zhuai.	synthetic
Jeśli on/ona jeść aromatyczny, on/ona pić woda.	jiao cou ji dui-za, cou ju zhe.	synthetic
My mówić gdzie	lano bi hen-yuan mo	synthetic
My partykuła posiadania/określenia małe dojrzewanie.	lano zhai nian-hen.	synthetic
Ja negacja (nie) wiedzieć mit.	ao daoo ga huai-bing.	synthetic
Jeśli on/ona jeść sprzeczność, on/ona pić woda.	jiao cou ji lei-bo, cou ju zhe.	synthetic
On/ona negacja (nie) wiedzieć pokolenie (starsze/młodsze).	cou daoo ga jue-keng.	synthetic
On/ona negacja (nie) jeść czerwony.	cou daoo ji mao.	synthetic
Jeśli on/ona jeść choroba (formalne), on/ona pić woda.	jiao cou ji mian-lue, cou ju zhe.	synthetic
Ty negacja (nie) wiedzieć kapusta chińska.	nio daoo ga caio-dou.	synthetic
My słuchać gołąb	lano fu geo-ku mo	synthetic
Jeśli my jeść koszula, my pić woda.	jiao lano ji cheng-liao, lano ju zhe.	synthetic
My partykuła posiadania/określenia potwierdzić.	lano zhai duo-kuan.	synthetic
Ja mówić gubernator	ao bi mang-wei mo	synthetic
On/ona mówić rękawiczki.	cou bi tang-lu.	synthetic
Ja negacja (nie) słuchać wewnętrzna moc.	ao daoo fu xiaoo-ce.	synthetic
On/ona pić ksitigarbha (bodhisattwa).	cou ju geng-zao.	synthetic
Ty mówić ściereczka do herbaty	nio bi wang-cha mo	synthetic
On/ona negacja (nie) wiedzieć wstawać.	cou daoo ga hang-nuo.	synthetic
My słuchać ceremonia.	lano fu diao-you.	synthetic
On/ona negacja (nie) mówić kontynuować.	cou daoo bi bie-seng.	synthetic
Jeśli ty jeść suknia ślubna, ty pić woda.	jiao nio ji bie-pang, nio ju zhe.	synthetic
My wiedzieć jabłko.	lano ga guoo-shang.	synthetic
Ja pić pyłek kwiatowy	ao ju xie-ga mo	synthetic
Ja jeść wstawać	ao ji hang-nuo mo	synthetic
Ja partykuła posiadania/określenia palec u ręki.	ao zhai qia-fo.	synthetic
Ty słuchać tysiąc.	nio fu tang-nin.	synthetic
On/ona negacja (nie) jeść zemścić się.	cou daoo ji mei-wu.	synthetic
My partykuła posiadania/określenia zewnętrzna.	lano zhai tuo-bo.	synthetic
On/ona negacja (nie) jeść sprzeciwiać się.	cou daoo ji shen-shuan.	synthetic
Ja pić wznieść toast.	ao ju dao-eng.	synthetic
Jeśli ja jeść terapia, ja pić woda.	jiao ao ji yang-zhai, ao ju zhe.	synthetic
On/ona wiedzieć wzdychać.	cou ga liao-qiao.	synthetic
Ja wiedzieć płytki.	ao ga sheng-zu.	synthetic
On/ona wiedzieć szacunek	cou ga rongo-cao mo	synthetic
On/ona mówić przeciwstawiać	cou bi lang-tuan mo	synthetic
On/ona partykuła posiadania/określenia rzeźbiarz.	cou zhai diao-ren.	synthetic
My mówić szelest	lano bi zhen-ba mo	synthetic
Jeśli ja jeść małe dojrzewanie, ja pić woda.	jiao ao ji nian-hen, ao ju zhe.	synthetic
Ja mówić ciąć.	ao bi pa.	synthetic
My negacja (nie) jeść osmanthus.	lano daoo ji xue-yi.	synthetic
Ty pić pożar	nio ju mo-ta mo	synthetic
Ja negacja (nie) wiedzieć proces.	ao daoo ga dang-ban.	synthetic
My jeść brama (budowla)	lano ji rong-ji mo	synthetic
On/ona negacja (nie) mówić objaśniać.	cou daoo bi sang-pi.	synthetic
My partykuła posiadania/określenia potomek.	lano zhai mou-lai.	synthetic
On/ona negacja (nie) słuchać zimny.	cou daoo fu weno-fei.	synthetic
On/ona mówić list, korespondencja.	cou bi kan-duo.	synthetic
On/ona pić pytać.	cou ju buo.	synthetic
Ja pić słuchać	ao ju fu mo	synthetic
Ty negacja (nie) wiedzieć marchew.	nio daoo ga caio-pian.	synthetic
Ja negacja (nie) jeść walka.	ao daoo ji luo-di.	synthetic
Ja partykuła posiadania/określenia jakość.	ao zhai ming-en.	synthetic
Jeśli ja jeść przekazywać, ja pić woda.	jiao ao ji jie-wu, ao ju zhe.	synthetic
Jeśli ja jeść zmęczenie, ja pić woda.	jiao ao ji chua-cheng, ao ju zhe.	synthetic
On/ona negacja (nie) wiedzieć rozpatrywać.	cou daoo ga ye-fen.	synthetic
Ja mówić mur miejski.	ao bi neng-huan.	synthetic
On/ona negacja (nie) wiedzieć tymczasowy.	cou daoo ga luo-gai.	synthetic
Ja pić wicehrabia.	ao ju ruo-zei.	synthetic
On/ona mówić koral.	cou bi luan-bo.	synthetic
Ty mówić lis	nio bi hulo-bi mo	synthetic
Ty partykuła posiadania/określenia głód.	nio zhai sen-zhua.	synthetic
Jeśli ty jeść pierś (żeńska), ty pić woda.	jiao nio ji ri-xu, nio ju zhe.	synthetic
On/ona pić raportować, zgłaszać	cou ju fang-tou mo	synthetic
My negacja (nie) pić pierścień.	lano daoo ju bei-xiang.	synthetic
Ja partykuła posiadania/określenia śmieć.	ao zhai zeng-reng.	synthetic
Ty partykuła posiadania/określenia kaczka mandarynka (para).	nio zhai yamo-ma.	synthetic
On/ona partykuła posiadania/określenia kaszleć.	cou zhai xue-kuan.	synthetic
Ja negacja (nie) pić iść szybko.	ao daoo ju tuan-re.	synthetic
My negacja (nie) słuchać punkt akupunkturowy.	lano daoo fu yang-nue.	synthetic
Ty jeść piżama	nio ji zhan-chong mo	synthetic
Ty jeść wszystko	nio ji wano mo	synthetic
My pić liście herbaty	lano ju qiu-pang mo	synthetic
On/ona negacja (nie) słuchać oczywiście.	cou daoo fu nei-niao.	synthetic
Jeśli ja jeść lśniący, błyszczący, ja pić woda.	jiao ao ji diu-zhai, ao ju zhe.	synthetic
Ty partykuła posiadania/określenia natychmiast.	nio zhai zei-shi.	synthetic
Ty partykuła posiadania/określenia glina.	nio zhai la-sha.	synthetic
On/ona negacja (nie) jeść dać.	cou daoo ji dio.	synthetic
Ja negacja (nie) pić twardy.	ao daoo ju jino.	synthetic
Jeśli on/ona jeść ściana, on/ona pić woda.	jiao cou ji ling-dian, cou ju zhe.	synthetic
Jeśli ty jeść delfin, ty pić woda.	jiao nio ji haio-qiu, nio ju zhe.	synthetic
Ty pić lodowaty, mroźny.	nio ju zeng-luan.	synthetic
Ja mówić gra.	ao bi fen-qiu.	synthetic
Ty wiedzieć taczka	nio ga xu-gan-dei mo	synthetic
On/ona pić spichlerz.	cou ju heng-nen.	synthetic
On/ona wiedzieć tradycyjna medycyna chińska.	cou ga xun-cui.	synthetic
On/ona negacja (nie) wiedzieć niebo.	cou daoo ga tiano.	synthetic
Jeśli ja jeść jedwab, ja pić woda.	jiao ao ji geng-xi, ao ju zhe.	synthetic
Ja słuchać grubość.	ao fu jiang-nue.	synthetic
Jeśli on/ona jeść wschód, on/ona pić woda.	jiao cou ji fang-dong, cou ju zhe.	synthetic
Jeśli ty jeść piętro, warstwa, ty pić woda.	jiao nio ji cuo-pang, nio ju zhe.	synthetic
On/ona mówić drewno sosnowe.	cou bi die-shen.	synthetic
Jeśli my jeść szczypce, my pić woda.	jiao lano ji tang-bai, lano ju zhe.	synthetic
Ty partykuła posiadania/określenia ktoś.	nio zhai she.	synthetic
My partykuła posiadania/określenia zaparzać herbatę.	lano zhai pang-kuan.	synthetic
Ty słuchać Ministerstwo Wojny.	nio fu lao-ceng.	synthetic
Ja mówić gałązki cynamonu	ao bi liao-shang mo	synthetic
On/ona pić kadzielnica.	cou ju yang-cang.	synthetic
My pić skórka owocu.	lano ju duano-ri.	synthetic
Ty pić marchew.	nio ju caio-pian.	synthetic
Ty pić szelest	nio ju zhen-ba mo	synthetic
Ja negacja (nie) jeść zmiana klimatu.	ao daoo ji qio-dao-na.	synthetic
Ty mówić gorący.	nio bi weno-eng.	synthetic
Ja negacja (nie) słuchać świnia.	ao daoo fu tuno-zhun.	synthetic
Jeśli my jeść sroka, my pić woda.	jiao lano ji queo-zha, lano ju zhe.	synthetic
Ty negacja (nie) mówić choroba (formalne).	nio daoo bi mian-lue.	synthetic
Jeśli my jeść wdzięczność (głęboka), my pić woda.	jiao lano ji mi-ben, lano ju zhe.	synthetic
Jeśli my jeść iść, my pić woda.	jiao lano ji ce, lano ju zhe.	synthetic
Ja mówić cang-Sou	ao bi sa-wa mo	synthetic
My słuchać bakłażan	lano fu zhan-ti mo	synthetic
Ja partykuła posiadania/określenia cang-Sou.	ao zhai sa-wa.	synthetic
My partykuła posiadania/określenia świnia.	lano zhai tuno-zhun.	synthetic
Ja jeść strażnik, protektor	ao ji ding-sang mo	synthetic
Ty partykuła posiadania/określenia zawiadomienie.	nio zhai gang-chun.	synthetic
Jeśli my jeść tyka, drążek, my pić woda.	jiao lano ji miu-nin, lano ju zhe.	synthetic
On/ona jeść makrel	cou ji ran-tie mo	synthetic
My partykuła posiadania/określenia szafa.	lano zhai eng-shu.	synthetic
On/ona słuchać biblioteka	cou fu xu-pu-nei mo	synthetic
Ty partykuła posiadania/określenia mieć.	nio zhai an.	synthetic
Ty negacja (nie) mówić Ministerstwo Wojny.	nio daoo bi lao-ceng.	synthetic
Jeśli ty jeść przygotowywać, ty pić woda.	jiao nio ji jio-diu, nio ju zhe.	synthetic
Ja wiedzieć włosy na głowie.	ao ga hen-lun.	synthetic
Ja partykuła posiadania/określenia gotowany ryż.	ao zhai fano-sheng.	synthetic
Ja pić jeż	ao ju lin-zhe mo	synthetic
Jeśli ty jeść poważnie, starannie, ty pić woda.	jiao nio ji tiao-ne, nio ju zhe.	synthetic
Jeśli on/ona jeść kontynuować, on/ona pić woda.	jiao cou ji bie-seng, cou ju zhe.	synthetic
Ty partykuła posiadania/określenia zwycięstwo.	nio zhai a-qian.	synthetic
My jeść wachlarz	lano ji du-luo mo	synthetic
Ja słuchać wybrzeże	ao fu haio-qin mo	synthetic
Ja jeść 20	ao ji zun mo	synthetic
Ja słuchać miąższ owocu.	ao fu duano-sai.	synthetic
Ja jeść skórka owocu	ao ji duano-ri mo	synthetic
Ty mówić pielęgniarka.	nio bi nian-de.	synthetic
Ja wiedzieć widelec.	ao ga chui-nong.	synthetic
On/ona słuchać staza krwi.	cou fu bi-dan.	synthetic
Jeśli my jeść bogactwo, my pić woda.	jiao lano ji rong-cang, lano ju zhe.	synthetic
Ty słuchać kruchy, delikatny.	nio fu xin-pan.	synthetic
Jeśli ty jeść wszyscy, ty pić woda.	jiao nio ji cai-zheng, nio ju zhe.	synthetic
My negacja (nie) słuchać tęsknić za.	lano daoo fu lei-zhen.	synthetic
Ty pić powóz konny	nio ju xu-chou mo	synthetic
Jeśli on/ona jeść długi, on/ona pić woda.	jiao cou ji die, cou ju zhe.	synthetic
Jeśli my jeść słońce, my pić woda.	jiao lano ji guango, lano ju zhe.	synthetic
My słuchać piwonia biała	lano fu qi-chuan mo	synthetic
My jeść sławny.	lano ji dong-zei.	synthetic
On/ona negacja (nie) jeść sui-Tun pewno.	cou daoo ji reng-bin.	synthetic
Ja słuchać głodny	ao fu pie mo	synthetic
On/ona negacja (nie) mówić ukryty smok, czający się tygrys (idiom).	cou daoo bi tigo-ge.	synthetic
Jeśli ja jeść nudny, ja pić woda.	jiao ao ji zhen-tuo, ao ju zhe.	synthetic
On/ona partykuła posiadania/określenia list, korespondencja.	cou zhai kan-duo.	synthetic
Ty negacja (nie) jeść lakiernik.	nio daoo ji miao-ao.	synthetic
On/ona słuchać sprzeczność	cou fu lei-bo mo	synthetic
Ty negacja (nie) mówić wdzięczność (głęboka).	nio daoo bi mi-ben.	synthetic
Ja wiedzieć sroka.	ao ga queo-zha.	synthetic
On/ona partykuła posiadania/określenia przedmiot.	cou zhai qing-nu.	synthetic
Ty pić proces	nio ju dang-ban mo	synthetic
Ty jeść pigułka	nio ji fu-suan mo	synthetic
Ty słuchać zapach dymu	nio fu pei-die mo	synthetic
Ty partykuła posiadania/określenia prowadzić.	nio zhai ang-yong.	synthetic
Jeśli ty jeść drabina, ty pić woda.	jiao nio ji xian-miao, nio ju zhe.	synthetic
Jeśli ty jeść iść szybko, ty pić woda.	jiao nio ji tuan-re, nio ju zhe.	synthetic
My jeść pośladki	lano ji xiaoo-ri mo	synthetic
Jeśli ja jeść lodowaty, mroźny, ja pić woda.	jiao ao ji zeng-luan, ao ju zhe.	synthetic
My mówić pociąg.	lano bi yuan-lan.	synthetic
