CHINESE CONTAMINATION CHECK - LENGXUAN DICTIONARY
================================================================================

Date: 2026-01-28
Total codes analyzed: 2718
  an-guo ↔ ngo (75.00%)
  an-shi ↔ shi (75.00%)
  an-shi ↔ shi (75.00%)
  ang ↔ chang (75.00%)
  ang ↔ huang (75.00%)
  ba-niu ↔ bai (75.00%)
  ba-niu ↔ bai (75.00%)
  ba-xue ↔ xue (75.00%)
  ba-za ↔ baat (75.00%)
  bao-zi ↔ bai (75.00%)
  bao-zi ↔ bai (75.00%)
  beng ↔ feng (75.00%)
  bian ↔ tian (75.00%)
  bian ↔ qian (75.00%)
  bian ↔ nian (75.00%)
  bian ↔ tian (75.00%)
  biao ↔ xiao (75.00%)
  biao ↔ miao (75.00%)
  biao ↔ tiao (75.00%)
  biao ↔ jiao (75.00%)
  bing ↔ ting (75.00%)
  bo-zhe ↔ zhe (75.00%)
  bu-pao ↔ pao (75.00%)
  can ↔ chang (75.00%)
  cen ↔ cheng (75.00%)
  ceng ↔ feng (75.00%)
  chai ↔ huai (75.00%)
  chan ↔ shan (75.00%)
  chan ↔ zhan (75.00%)
  che ↔ cheng (75.00%)
  che-ao ↔ hao (75.00%)
  che-ao ↔ che (75.00%)
  che-ze ↔ che (75.00%)
  chen ↔ zhen (75.00%)
  chou-a ↔ hua (75.00%)
  chu-a ↔ huai (75.00%)
  chua ↔ huai (75.00%)
  chua-zhuang ↔ chuang (75.00%)
  chuai-shang ↔ chuang (75.00%)
  chuang-peng ↔ chuang (75.00%)
  chuang-weng ↔ chuang (75.00%)
  chui ↔ shui (75.00%)
  chui ↔ huai (75.00%)
  chui ↔ shui (75.00%)
  chuo ↔ shuo (75.00%)
  ci-ge ↔ jige (75.00%)
  ci-shi ↔ shi (75.00%)
  ci-shi ↔ chi (75.00%)
  ci-shi ↔ shi (75.00%)
  cong ↔ hong (75.00%)
  cu-hun ↔ cun (75.00%)
  cu-ran ↔ cun (75.00%)
  cu-wei ↔ wei (75.00%)
  cu-xie ↔ xie (75.00%)
  cu-xie ↔ xie (75.00%)
  cuan ↔ duan (75.00%)
  cun-li ↔ cun (75.00%)
  cun-ze ↔ cun (75.00%)
  da-fei ↔ dei (75.00%)
  da-zou ↔ zou (75.00%)
  dang ↔ duan (75.00%)
  dian ↔ tian (75.00%)
  dian ↔ qian (75.00%)
  dian ↔ duan (75.00%)
  dian ↔ nian (75.00%)
  dian ↔ tian (75.00%)
  diao ↔ xiao (75.00%)
  diao ↔ miao (75.00%)
  diao ↔ tiao (75.00%)
  diao ↔ jiao (75.00%)
  ding ↔ ting (75.00%)
  dong ↔ hong (75.00%)
  e-ling ↔ lin (75.00%)
  ei-ruo ↔ ruo (75.00%)
  eng ↔ cheng (75.00%)
  fa-ren ↔ ren (75.00%)
  fang ↔ feng (75.00%)
  fang ↔ fung (75.00%)
  fang-zui-lun ↔ fangzi (75.00%)
  feng ↔ fung (75.00%)
  fu-xue ↔ xue (75.00%)
  fu-zou ↔ zou (75.00%)
  ga-tao ↔ gao (75.00%)
  gao-de ↔ gao (75.00%)
  gao-ha ↔ gao (75.00%)
  gao-ta ↔ gao (75.00%)
  ge-ga ↔ gege (75.00%)
  ge-lao ↔ gao (75.00%)
  ge-nuo ↔ guo (75.00%)
  geng ↔ feng (75.00%)
  geng ↔ gege (75.00%)
  gong ↔ hong (75.00%)
  gu-che ↔ che (75.00%)
  gu-rao ↔ gao (75.00%)
  gu-rao ↔ guo (75.00%)
  gu-ruo ↔ guo (75.00%)
  gu-ruo ↔ ruo (75.00%)
  gu-shi ↔ shi (75.00%)
  gu-shi ↔ shi (75.00%)
  guai ↔ huai (75.00%)
  guan ↔ duan (75.00%)
  ha-cou ↔ hao (75.00%)
  ha-mou ↔ hao (75.00%)
  ha-mou ↔ mou (75.00%)
  hai-le ↔ hai (75.00%)
  hai-ni ↔ hai (75.00%)
  han ↔ chang (75.00%)
  han ↔ huang (75.00%)
  hang ↔ hong (75.00%)
  hang ↔ shan (75.00%)
  hang ↔ zhan (75.00%)
  hao ↔ nihao (75.00%)
  hao-pu ↔ hao (75.00%)
  he-nai ↔ hei (75.00%)
  he-nai ↔ hai (75.00%)
  he-nai ↔ nai (75.00%)
  hen ↔ cheng (75.00%)
  heng ↔ feng (75.00%)
  heng ↔ hong (75.00%)
  heng ↔ zhen (75.00%)
  hu-dou ↔ huo (75.00%)
  hu-ren ↔ ren (75.00%)
  hu-wa ↔ huai (75.00%)
  hua ↔ huang (75.00%)
  hua-ba ↔ hua (75.00%)
  hua-cu ↔ hua (75.00%)
  hua-ou ↔ huo (75.00%)
  hua-ou ↔ hao (75.00%)
  hua-ou ↔ hua (75.00%)
  hua-ze ↔ hua (75.00%)
  huai ↔ shui (75.00%)
  huai ↔ shui (75.00%)
  huan ↔ huai (75.00%)
  huan ↔ duan (75.00%)
  huan ↔ shan (75.00%)
  huan ↔ zhan (75.00%)
  hun ↔ huang (75.00%)
  hun-ha ↔ hua (75.00%)
  huo-da ↔ huo (75.00%)
  huo-da ↔ hua (75.00%)
  ji-nai ↔ nai (75.00%)
  ji-te ↔ jige (75.00%)
  jian ↔ tian (75.00%)
  jian ↔ qian (75.00%)
  jian ↔ nian (75.00%)
  jian ↔ tian (75.00%)
  jian ↔ jiao (75.00%)
  jiao ↔ xiao (75.00%)
  jiao ↔ miao (75.00%)
  jiao ↔ tiao (75.00%)
  jie-wu ↔ jiu (75.00%)
  jing ↔ ting (75.00%)
  jing ↔ jige (75.00%)
  juan ↔ duan (75.00%)
  ka-can ↔ kan (75.00%)
  ka-nin ↔ kan (75.00%)
  ka-xin ↔ kan (75.00%)
  kao-en ↔ kan (75.00%)
  ke-chi ↔ chi (75.00%)
  keng ↔ feng (75.00%)
  kong ↔ hong (75.00%)
  ku-xie ↔ xie (75.00%)
  ku-xie ↔ xie (75.00%)
  kuai ↔ huai (75.00%)
  kuan ↔ duan (75.00%)
  lan-ba ↔ lan (75.00%)
  lan-re ↔ lan (75.00%)
  lao-bi ↔ lai (75.00%)
  lao-bi ↔ lai (75.00%)
  leng ↔ feng (75.00%)
  li-hou ↔ liu (75.00%)
  lian ↔ tian (75.00%)
  lian ↔ qian (75.00%)
  lian ↔ nian (75.00%)
  lian ↔ tian (75.00%)
  lin-pa ↔ lin (75.00%)
  liu-bi ↔ liu (75.00%)
  liu-hu ↔ liu (75.00%)
  liu-ye ↔ liu (75.00%)
  liu-zu ↔ liu (75.00%)
  ma-bai ↔ bai (75.00%)
  ma-bai ↔ bai (75.00%)
  ma-dou ↔ mou (75.00%)
  ma-ren ↔ ren (75.00%)
  ma-ren ↔ men (75.00%)
  ma-sen ↔ men (75.00%)
  ma-xie ↔ xie (75.00%)
  ma-xie ↔ xie (75.00%)
  mao-wu ↔ mou (75.00%)
  men ↔ women (75.00%)
  men ↔ nimen (75.00%)
  men ↔ tamen (75.00%)
  men-da ↔ men (75.00%)
  men-la ↔ men (75.00%)
  mi-ba ↔ miao (75.00%)
  mi-ben ↔ men (75.00%)
  mi-cun ↔ cun (75.00%)
  mi-fou ↔ mou (75.00%)
  mo-cou ↔ mou (75.00%)
  mo-nue ↔ mou (75.00%)
  mo-rua ↔ mou (75.00%)
  mo-sou ↔ mou (75.00%)
  mou-ba ↔ mou (75.00%)
  mou-pa ↔ mou (75.00%)
  mu-ren ↔ ren (75.00%)
  mu-ren ↔ men (75.00%)
  na-hei ↔ hei (75.00%)
  na-hei ↔ nei (75.00%)
  na-hei ↔ nai (75.00%)
  nai-zi ↔ nai (75.00%)
  nan-ci ↔ nai (75.00%)
  nao ↔ nihao (75.00%)
  ne-lai ↔ lai (75.00%)
  ne-lai ↔ nei (75.00%)
  ne-lai ↔ lai (75.00%)
  ne-lai ↔ nai (75.00%)
  ne-nei ↔ nei (75.00%)
  ne-suo ↔ suo (75.00%)
  nen ↔ nimen (75.00%)
  nin ↔ nimen (75.00%)
  nu-lin ↔ lin (75.00%)
  nue-qi ↔ nei (75.00%)
  o-yang ↔ yan (75.00%)
  pa-xie ↔ xie (75.00%)
  pa-xie ↔ xie (75.00%)
  pao-he ↔ pao (75.00%)
  pi-guo ↔ guo (75.00%)
  pin-ao ↔ pao (75.00%)
  pu-dao ↔ pao (75.00%)
  qu-pao ↔ pao (75.00%)
  qu-san ↔ san (75.00%)
  qu-yue ↔ yue (75.00%)
  qu-yue ↔ yue (75.00%)
  rao-en ↔ ren (75.00%)
  re-nai ↔ ren (75.00%)
  re-nai ↔ nai (75.00%)
  ren-re ↔ ren (75.00%)
  ru-tuo ↔ ruo (75.00%)
  ruo-ni ↔ ruo (75.00%)
  sa-can ↔ san (75.00%)
  sa-dei ↔ dei (75.00%)
  sa-dei ↔ sei (75.00%)
  sa-liu ↔ liu (75.00%)
  sa-wa ↔ saam (75.00%)
  san-wo ↔ san (75.00%)
  se-lei ↔ sei (75.00%)
  se-li ↔ shei (75.00%)
  se-li ↔ seoi (75.00%)
  se-qi ↔ shei (75.00%)
  se-qi ↔ seoi (75.00%)
  se-si ↔ shei (75.00%)
  se-si ↔ seoi (75.00%)
  sha-na ↔ san (75.00%)
  sha-tu ↔ shu (75.00%)
  shi-zi ↔ shi (75.00%)
  shi-zi ↔ shi (75.00%)
  shu-ku ↔ shu (75.00%)
  shui ↔ shuo (75.00%)
  shui ↔ huai (75.00%)
  shui ↔ shei (75.00%)
  si-ge ↔ jige (75.00%)
  si-hou ↔ shu (75.00%)
  sou-an ↔ san (75.00%)
  su-han ↔ san (75.00%)
  suan-chuang ↔ chuang (75.00%)
  suan-o ↔ san (75.00%)
  suan-o ↔ suo (75.00%)
  tan ↔ tamen (75.00%)
  teng ↔ ting (75.00%)
  teng ↔ feng (75.00%)
  tu-lai ↔ lai (75.00%)
  tu-lai ↔ lai (75.00%)
  wa-nen ↔ wan (75.00%)
  wei-heng ↔ weishenme (75.00%)
  wen ↔ women (75.00%)
  wu-wei ↔ wei (75.00%)
  xi-suo ↔ suo (75.00%)
  xiao-na-shu ↔ xiaoshi (75.00%)
  xu-lin ↔ lin (75.00%)
  xue-mo ↔ xue (75.00%)
  xue-yi ↔ xue (75.00%)
  yan-gu ↔ yan (75.00%)
  yao-na ↔ yan (75.00%)
  yao-ru ↔ you (75.00%)
  yi-jue ↔ yue (75.00%)
  yi-jue ↔ yue (75.00%)
  yong ↔ hong (75.00%)
  you-hu ↔ you (75.00%)
  yu-hua ↔ hua (75.00%)
  yue-cu ↔ yue (75.00%)
  yue-cu ↔ yue (75.00%)
  za-niu ↔ zai (75.00%)
  zai-ji ↔ zai (75.00%)
  zai-wu ↔ zai (75.00%)
  zan-di ↔ zai (75.00%)
  zen ↔ zenme (75.00%)
  zhai ↔ huai (75.00%)
  zhai ↔ zhan (75.00%)
  zhe-ni ↔ hei (75.00%)
  zhe-ni ↔ zhi (75.00%)
  zhe-ni ↔ zhe (75.00%)
  zhe-za ↔ zhe (75.00%)
  zhi-re ↔ zhi (75.00%)
  zhi-re ↔ zhe (75.00%)
  zhu-da ↔ hua (75.00%)
  zhui-o ↔ huo (75.00%)
  zhui-o ↔ zuo (75.00%)
  zhui-o ↔ zhi (75.00%)
  zhuo ↔ shuo (75.00%)
  zou-en ↔ zou (75.00%)
  zu-zai ↔ zai (75.00%)
  zuo-hu ↔ zuo (75.00%)
  ai-niang ↔ nian (72.73%)
  ao-meng ↔ women (72.73%)
  ao-meng ↔ tamen (72.73%)
  ban-zhan ↔ zhan (72.73%)
  bei-de ↔ neidei (72.73%)
  ca-zang ↔ chang (72.73%)
  cang-ze ↔ chang (72.73%)
  ceng-en ↔ cheng (72.73%)
  ceng-ha ↔ cheng (72.73%)
  ceng-wo ↔ cheng (72.73%)
  cha-cong ↔ hong (72.73%)
  cha-cun ↔ chang (72.73%)
  cha-huai ↔ huai (72.73%)
  chan-di ↔ chang (72.73%)
  chan-ni ↔ chang (72.73%)
  che-hong ↔ hong (72.73%)
  chen-lu ↔ cheng (72.73%)
  chi-cong ↔ hong (72.73%)
  chong-mi ↔ hong (72.73%)
  chou-a ↔ chuang (72.73%)
  chua-gui ↔ huai (72.73%)
  chuai-ci ↔ huai (72.73%)
  chuang ↔ cheng (72.73%)
  ci-cang ↔ chang (72.73%)
  cu-hun ↔ chuang (72.73%)
  cu-ran ↔ chuang (72.73%)
  da-zhuan ↔ duan (72.73%)
  da-zhuan ↔ zhan (72.73%)
  dao-tuan ↔ duan (72.73%)
  du-bi ↔ duibuqi (72.73%)
  duan-luo ↔ duan (72.73%)
  duan-suo ↔ duan (72.73%)
  dui-juan ↔ duan (72.73%)
  dui-ting ↔ ting (72.73%)
  dun-mang ↔ duan (72.73%)
  duo-kuan ↔ duan (72.73%)
  duo-mian ↔ duan (72.73%)
  duo-xuan ↔ duan (72.73%)
  ei-kei ↔ meimei (72.73%)
  ei-kei ↔ neidei (72.73%)
  en-xiang ↔ nian (72.73%)
  fan-keng ↔ feng (72.73%)
  fen-fang ↔ feng (72.73%)
  fen-shuo ↔ shuo (72.73%)
  fou-bing ↔ fung (72.73%)
  fou-duan ↔ duan (72.73%)
  fou-wang ↔ fung (72.73%)
  fu-qiong ↔ fung (72.73%)
  gao-de ↔ ngodei (72.73%)
  gao-feng ↔ feng (72.73%)
  gao-jiao ↔ jiao (72.73%)
  gen-jiao ↔ jiao (72.73%)
  guo-jiao ↔ jiao (72.73%)
  ha-gong ↔ chang (72.73%)
  ha-gong ↔ huang (72.73%)
  ha-jing ↔ chang (72.73%)
  ha-jing ↔ huang (72.73%)
  han-jian ↔ nian (72.73%)
  hang-di ↔ chang (72.73%)
  hang-di ↔ huang (72.73%)
  hao-gong ↔ hong (72.73%)
  he-ceng ↔ cheng (72.73%)
  he-nue ↔ shenme (72.73%)
  he-peng ↔ cheng (72.73%)
  he-sang ↔ chang (72.73%)
  he-sang ↔ huang (72.73%)
  he-sang ↔ cheng (72.73%)
  he-zhuan ↔ zhan (72.73%)
  hei-zhan ↔ zhan (72.73%)
  hong-zen ↔ hong (72.73%)
  hou-han ↔ huang (72.73%)
  hu-pian ↔ huang (72.73%)
  hu-ting ↔ huang (72.73%)
  hua-biao ↔ huai (72.73%)
  hua-lan ↔ huang (72.73%)
  hua-nao ↔ huang (72.73%)
  hua-ping ↔ huai (72.73%)
  hua-ren ↔ huang (72.73%)
  huan-pin ↔ huai (72.73%)
  hui-guai ↔ huai (72.73%)
  hun-dian ↔ nian (72.73%)
  hun-lan ↔ huang (72.73%)
  hun-long ↔ hong (72.73%)
  huo-hong ↔ hong (72.73%)
  jia-biao ↔ jiao (72.73%)
  jian ↔ zaijian (72.73%)
  jin-qi ↔ xingqi (72.73%)
  jin-zhao ↔ jiao (72.73%)
  jue-hong ↔ hong (72.73%)
  jue-nian ↔ nian (72.73%)
  jue-tiao ↔ tiao (72.73%)
  jue-tiao ↔ jiao (72.73%)
  ka-zheng ↔ zhen (72.73%)
  ke-zhang ↔ zhan (72.73%)
  kun-hong ↔ hong (72.73%)
  le-ceng ↔ cheng (72.73%)
  lei-zhen ↔ zhen (72.73%)
  li-shang ↔ shan (72.73%)
  lue-tian ↔ tian (72.73%)
  lue-tian ↔ tian (72.73%)
  lue-zhen ↔ zhen (72.73%)
  luo-shuo ↔ shuo (72.73%)
  mai-mi ↔ meimei (72.73%)
  mei-biao ↔ miao (72.73%)
  mian-lou ↔ miao (72.73%)
  miao-mai ↔ miao (72.73%)
  miao-xin ↔ miao (72.73%)
  miao-you ↔ miao (72.73%)
  miao-zui ↔ miao (72.73%)
  mie-mi ↔ meimei (72.73%)
  mie-ri ↔ meimei (72.73%)
  min-duan ↔ duan (72.73%)
  ming-bao ↔ miao (72.73%)
  miu-shan ↔ shan (72.73%)
  miu-shui ↔ shui (72.73%)
  miu-shui ↔ shui (72.73%)
  mu-zheng ↔ zhen (72.73%)
  na-shao ↔ nihao (72.73%)
  nai-cen ↔ nimen (72.73%)
  nai-fen ↔ nimen (72.73%)
  nai-pian ↔ nian (72.73%)
  nan-hong ↔ hong (72.73%)
  nan-miao ↔ miao (72.73%)
  ne-chong ↔ hong (72.73%)
  nei-mei ↔ nimen (72.73%)
  nen-lian ↔ nian (72.73%)
  nian-cai ↔ nian (72.73%)
  nian-hen ↔ nian (72.73%)
  niao-pan ↔ nian (72.73%)
  nie-huai ↔ huai (72.73%)
  nie-juan ↔ nian (72.73%)
  nin-hang ↔ nian (72.73%)
  nin-tian ↔ tian (72.73%)
  nin-tian ↔ nian (72.73%)
  nin-tian ↔ tian (72.73%)
  niu-zuan ↔ nian (72.73%)
  nou-shan ↔ shan (72.73%)
  nu-meng ↔ nimen (72.73%)
  nun-jiao ↔ jiao (72.73%)
  nun-men ↔ nimen (72.73%)
  o-chang ↔ huang (72.73%)
  o-chang ↔ cheng (72.73%)
  ou-shang ↔ shan (72.73%)
  pai-huai ↔ huai (72.73%)
  pi-meng ↔ nimen (72.73%)
  qi-chuan ↔ qian (72.73%)
  qi-niao ↔ nihao (72.73%)
  qian-wen ↔ qian (72.73%)
  qiang-pu ↔ qian (72.73%)
  qiu-kuan ↔ qian (72.73%)
  qiu-pang ↔ qian (72.73%)
  qu-yang ↔ huang (72.73%)
  que-bian ↔ qian (72.73%)
  que-xiao ↔ xiao (72.73%)
  rao-nian ↔ nian (72.73%)
  re-jie ↔ jiejie (72.73%)
  ren-shui ↔ shui (72.73%)
  ren-shui ↔ shui (72.73%)
  run-ting ↔ ting (72.73%)
  san-chuo ↔ shuo (72.73%)
  se-shang ↔ shan (72.73%)
  sen-shuo ↔ shuo (72.73%)
  sha-teng ↔ shan (72.73%)
  sha-ying ↔ shan (72.73%)
  shan-yun ↔ shan (72.73%)
  shan-zuo ↔ shuo (72.73%)
  shan-zuo ↔ shan (72.73%)
  shao-guo ↔ shuo (72.73%)
  sheng-si ↔ shei (72.73%)
  shi-dong ↔ hong (72.73%)
  shi-huai ↔ huai (72.73%)
  shou-bei ↔ shui (72.73%)
  shou-bei ↔ shui (72.73%)
  shou-bei ↔ shei (72.73%)
  shou-bin ↔ shui (72.73%)
  shou-bin ↔ shui (72.73%)
  shu-chai ↔ shui (72.73%)
  shu-chai ↔ huai (72.73%)
  shu-chai ↔ shui (72.73%)
  shu-lan ↔ huang (72.73%)
  shua-min ↔ shui (72.73%)
  shua-min ↔ huai (72.73%)
  shua-min ↔ shui (72.73%)
  shua-min ↔ shan (72.73%)
  shuai-ga ↔ shui (72.73%)
  shuai-ga ↔ huai (72.73%)
  shuai-ga ↔ shui (72.73%)
  shuai-nu ↔ shui (72.73%)
  shuai-nu ↔ huai (72.73%)
  shuai-nu ↔ shui (72.73%)
  shuai-nu ↔ shan (72.73%)
  shuan-ei ↔ shui (72.73%)
  shuan-ei ↔ huai (72.73%)
  shuan-ei ↔ shui (72.73%)
  shuan-ei ↔ shan (72.73%)
  shuan-ei ↔ shei (72.73%)
  shuan-ti ↔ shui (72.73%)
  shuan-ti ↔ huai (72.73%)
  shuan-ti ↔ shui (72.73%)
  shuan-ti ↔ shan (72.73%)
  shuan-zu ↔ shan (72.73%)
  shui-jia ↔ shui (72.73%)
  shui-jia ↔ shui (72.73%)
  shui-kou ↔ shuo (72.73%)
  shui-kou ↔ shui (72.73%)
  shui-kou ↔ shui (72.73%)
  shun-an ↔ huang (72.73%)
  shun-bie ↔ shui (72.73%)
  shun-bie ↔ shui (72.73%)
  shun-pin ↔ shui (72.73%)
  shun-pin ↔ shui (72.73%)
  shun-qin ↔ shui (72.73%)
  shun-qin ↔ shui (72.73%)
  shun-you ↔ shuo (72.73%)
  shuo-lin ↔ shuo (72.73%)
  shuo-lin ↔ shui (72.73%)
  shuo-lin ↔ shui (72.73%)
  shuo-sou ↔ shuo (72.73%)
  shuo-yin ↔ shuo (72.73%)
  shuo-yin ↔ shui (72.73%)
  shuo-yin ↔ shui (72.73%)
  sou-zhui ↔ shui (72.73%)
  sou-zhui ↔ shui (72.73%)
  tai-biao ↔ tiao (72.73%)
  tai-ruan ↔ tian (72.73%)
  tai-ruan ↔ tian (72.73%)
  tian-cun ↔ tian (72.73%)
  tian-cun ↔ tian (72.73%)
  tian-dai ↔ tian (72.73%)
  tian-dai ↔ tian (72.73%)
  tian-gua ↔ ting (72.73%)
  tian-gua ↔ tian (72.73%)
  tian-gua ↔ tian (72.73%)
  tian-hen ↔ tian (72.73%)
  tian-hen ↔ tian (72.73%)
  tian-jie ↔ tian (72.73%)
  tian-jie ↔ tian (72.73%)
  tian-pin ↔ tian (72.73%)
  tian-pin ↔ tian (72.73%)
  tian-ruo ↔ tian (72.73%)
  tian-ruo ↔ tian (72.73%)
  tian-ruo ↔ tiao (72.73%)
  tiao-liu ↔ tiao (72.73%)
  ting-cen ↔ ting (72.73%)
  ting-gen ↔ ting (72.73%)
  ting-gua ↔ ting (72.73%)
  ting-jia ↔ ting (72.73%)
  ting-nie ↔ ting (72.73%)
  ting-tui ↔ ting (72.73%)
  tou-shuo ↔ shuo (72.73%)
  tui-tiao ↔ tiao (72.73%)
  tun-lian ↔ tian (72.73%)
  tun-lian ↔ nian (72.73%)
  tun-lian ↔ tian (72.73%)
  wa-chan ↔ chang (72.73%)
  xia-piao ↔ xiao (72.73%)
  xiang ↔ xingqi (72.73%)
  xiao-diu ↔ xiao (72.73%)
  xiao-lou ↔ xiao (72.73%)
  xin-li ↔ xingqi (72.73%)
  xing-yao ↔ xiao (72.73%)
  xun-lian ↔ nian (72.73%)
  zei-men ↔ nimen (72.73%)
  zei-men ↔ zenme (72.73%)
  zen-zen ↔ zenme (72.73%)
  zha-mang ↔ zhan (72.73%)
  zhang-ji ↔ zhan (72.73%)
  zhang-le ↔ zhan (72.73%)
  zhao-dun ↔ zhan (72.73%)
  zhen-tuo ↔ zhen (72.73%)
  zhen-zhe ↔ zhen (72.73%)
  zhong-ze ↔ hong (72.73%)
  zhou-zan ↔ zhan (72.73%)
  zhu-kang ↔ zhan (72.73%)
  zhua-lai ↔ huai (72.73%)
  zhua-lun ↔ zhan (72.73%)
  zhuai-hu ↔ huai (72.73%)
  zhuai-nu ↔ huai (72.73%)
  zhuai-nu ↔ zhan (72.73%)
  zhuan-po ↔ zhan (72.73%)
  zhui-lai ↔ huai (72.73%)
  zhui-o ↔ zhuozi (72.73%)
  zhui-wen ↔ zhen (72.73%)
  zu-zai ↔ zhuozi (72.73%)
  zun-xiao ↔ xiao (72.73%)
  zuo-huan ↔ zhan (72.73%)
  zuo-tian ↔ tian (72.73%)
  zuo-tian ↔ tian (72.73%)
  ai-niang ↔ zaijian (71.43%)
  bao-shao ↔ duoshao (71.43%)
  bian-huang ↔ huang (71.43%)
  cang-huang ↔ huang (71.43%)
  cao-kuang ↔ chuang (71.43%)
  cen-zhuan ↔ chuang (71.43%)
  cha-jiong ↔ chuang (71.43%)
  chai-duan ↔ chuang (71.43%)
  chan-geng ↔ chuang (71.43%)
  chan-mang ↔ chuang (71.43%)
  chan-nong ↔ chuang (71.43%)
  chang-man ↔ chuang (71.43%)
  chang-run ↔ chuang (71.43%)
  chang-ruo ↔ chuang (71.43%)
  chang-yan ↔ chuang (71.43%)
  chang-yong ↔ chang (71.43%)
  chang-zhuo ↔ chang (71.43%)
  chao-guan ↔ chuang (71.43%)
  chao-teng ↔ chuang (71.43%)
  cheng-chen ↔ cheng (71.43%)
  cheng-gang ↔ chang (71.43%)
  cheng-gang ↔ cheng (71.43%)
  cheng-liao ↔ cheng (71.43%)
  cheng-suan ↔ cheng (71.43%)
  cheng-teng ↔ cheng (71.43%)
  cheng-yuan ↔ cheng (71.43%)
  chi-shang ↔ chuang (71.43%)
  chu-zhuan ↔ chuang (71.43%)
  chua-cheng ↔ chang (71.43%)
  chua-cheng ↔ huang (71.43%)
  chua-cheng ↔ cheng (71.43%)
  chua-shan ↔ chuang (71.43%)
  chuai-geng ↔ chang (71.43%)
  chuai-geng ↔ huang (71.43%)
  chuai-geng ↔ cheng (71.43%)
  chuai-lin ↔ chuang (71.43%)
  chuai-nen ↔ chuang (71.43%)
  chuai-teng ↔ chang (71.43%)
  chuai-teng ↔ huang (71.43%)
  chuai-teng ↔ cheng (71.43%)
  chuan-che ↔ chuang (71.43%)
  chuan-jiu ↔ chuang (71.43%)
  chuan-sai ↔ chuang (71.43%)
  chuang-cao ↔ chang (71.43%)
  chuang-cao ↔ huang (71.43%)
  chuang-hun ↔ chang (71.43%)
  chuang-hun ↔ huang (71.43%)
  chuang-rui ↔ chang (71.43%)
  chuang-rui ↔ huang (71.43%)
  chui-luan ↔ chuang (71.43%)
  chui-nong ↔ chuang (71.43%)
  chun-guan ↔ chuang (71.43%)
  chun-ming ↔ chuang (71.43%)
  chuo-long ↔ chuang (71.43%)
  chuo-niang ↔ chang (71.43%)
  chuo-niang ↔ huang (71.43%)
  cou-chang ↔ chuang (71.43%)
  cuan-qing ↔ chuang (71.43%)
  cuan-yong ↔ chuang (71.43%)
  cun-kuang ↔ chuang (71.43%)
  dong-chang ↔ chang (71.43%)
  fang-zhao ↔ fangzi (71.43%)
  han-jian ↔ zaijian (71.43%)
  hang-cheng ↔ cheng (71.43%)
  hao-chuan ↔ chuang (71.43%)
  he-shuang ↔ chuang (71.43%)
  huai-bing ↔ chuang (71.43%)
  huang-gong ↔ huang (71.43%)
  huang-tang ↔ huang (71.43%)
  huang-tie ↔ chuang (71.43%)
  jiang-qia ↔ xingqi (71.43%)
  jiong-qin ↔ xingqi (71.43%)
  jun-zhuang ↔ huang (71.43%)
  luo-shuo ↔ duoshao (71.43%)
  mao-chuang ↔ chang (71.43%)
  mao-chuang ↔ huang (71.43%)
  nai-pian ↔ zaijian (71.43%)
  nang-zhai ↔ fangzi (71.43%)
  niang-chao ↔ nihao (71.43%)
  re-nong ↔ fenzhong (71.43%)
  rui-huang ↔ chuang (71.43%)
  sheng-ben ↔ shenme (71.43%)
  shuai-fang ↔ huang (71.43%)
  shuai-meng ↔ huang (71.43%)
  shuang-hen ↔ huang (71.43%)
  shuang-lai ↔ huang (71.43%)
  shuang-mao ↔ huang (71.43%)
  shuang-zha ↔ huang (71.43%)
  sui-shuang ↔ huang (71.43%)
  xiao-diu ↔ xiaoshi (71.43%)
  xing-jian ↔ xingqi (71.43%)
  xiong-mei ↔ xingqi (71.43%)
  yang-zhai ↔ fangzi (71.43%)
  zhuai-ling ↔ huang (71.43%)
  zhuan-reng ↔ huang (71.43%)
  zhuan-zang ↔ huang (71.43%)
  zhuang-en ↔ chuang (71.43%)
  zhuang-gua ↔ huang (71.43%)
  zhuang-mi ↔ chuang (71.43%)
  zhuang-rui ↔ huang (71.43%)
  zhuang-tao ↔ huang (71.43%)
  zhuang-wei ↔ huang (71.43%)
  zhun-sang ↔ chuang (71.43%)
  zhuo-jiang ↔ huang (71.43%)
  zuo-chao ↔ duoshao (71.43%)
  dang-zhong ↔ fenzhong (70.59%)
  feng-zhuan ↔ fenzhong (70.59%)
  teng-zhang ↔ fenzhong (70.59%)
  zhe-cao-jian ↔ zaijian (70.59%)


SYLLABLE STRUCTURE:
  Single: 299
  Two: 2259
  Three: 160
  Four+: 0
  Average: 1.95
