0	kong
rozkazywać	nue-zui
rozkojarzony	shuai-meng
rozliczyć rachunek	suan-chi
rozluźniony	geng-nang
rozmiar	ce-dian
rozmieszczenie	ji-ci
rozmieszczenie (wojsk)	ji-ci
rozpacz	beio-dei
rozpakowywać	sui-jun
rozpatrywać	ye-fen
rozpocząć podróż	chu-xun
rozpoznać	jin-qi
rozpoznać	wu-hun
roztrzaskać	zhe-gua
rozumieć	tao-kang
rozumieć, znać	tao-kang
rozważać	ya-chu
rozważać, przemyśleć	ya-chu
rozwijać	ning-pian
rozwijać się	piao-na
rozwiązanie	ha-gong
rozwiązać	hou-rui
roślina	caoo-chui
roślina ryżowa	caoo-sun
rubin	pian-she-nei
ruch	weng-liu
rumak	ge-shui
ryba	dongo
ryba mandarynka	dongo-kui
rybak	haio-seng
rynek	bao-shao
rytuał	miao-ju
rytuał, etykieta	miao-ju
ryż	fano
ryżowar	fano-dai
rzadki	eng-hei
rzadki	qing-dian
rzecz	mian-ao
rzeczy)	pai-nu
rzeczywistość	teng-fa
rzeczywisty	shuai-ga
rzeczywisty, faktyczny	shuai-ga
rzeka	heo
rzemieślnik	gong-ren
rzemieślnik	ou-xiong
rzemiosło	zu-huai
rzepa	nai-yan
rzepa, rzodkiew	nai-yan
rzeźba	ming-qi
rzeźbiarz	diao-ren
rzeźbiarz	nen-zong-zheng
rzodkiew	nai-yan
rzodkiew biała	niu-she-xiao
rzucać	na-shao
rzucić	cheo
rzutka	ou-ning
rzuty	pian-er
rząd	dai-ran
rzęsy	lie-nong
róg wojenny	zhuan-kua
rówieśnik	zuoo-tiano
równina	pingo-qiang
równonoc jesienna	keng-pai
równonoc wiosenna	chao-qia
równowaga	hong-zen
róża chińska	gang-gong
różnica	dui-ting
różnorodność	chi-fa-duo
różny	lang-du
różny, inny	lang-du
różowy	mi-kei
ręcznik	gan-rao
ręka	cang
rękawiczki	tang-lu
sadzonka	liu-zhong
sala Buddy	ma-chao
sala Dharmy	tao-ke
sala koncertowa	da-tuo-rao
sala przodków	ce-cao
sala sutr	ling-tuo
salon	chou-hui
samantabhadra	he-ceng
samantabhadra (bodhisattwa)	he-ceng
samolot	ge-ga
samotność	sui-chun
sanktuarium	kei-qu
satysfakcja	huano-kui
scalać	se-si
scalać, łączyć	se-si
scenariusz	nie-shou
schludny	pin-jiang
schody	meng-nuan
schodzić w dół	cu-shao
sekretarz	bin-zhuai
sekty	xia-rang
selekcja	pian-feng
sen	dian-kan
sen (aspiracja)	dian-kan
senior	mi-shui
senior (hierarchia)	mi-shui
senny	ka-nin
sens	kun-hong
serce	chuo
serce-umysł	pin-ba
setnik	zhuai-ling
sezam	mi-pi
sfera	bian-na
shiitake	ei-yun
sidła	nin-pin
sidła, pułapka	nin-pin
siedemdziesiąt	diu-liu
siedemset	deng-meng
siedzieć	ku
siedząca medytacja	pa-xie
siekać	qiao-xie
siekać na miazgę	qiao-di
siekiera	jiang-qia
sierp	que-ye
siew ziarna	miano-zhua
sieć rybacka	haio-chen
silny	run-zhao
silny wiatr	fengo-tun
siodło	ei-kei
siostra	run
siostra cioteczna	bai-xiong
siostra cioteczna (starsza)	bai-xiong
siostra stryjeczna	kuang-kai
siostra stryjeczna (młodsza)	kuang-kai
siódmy	yue-cu
siła	bian-pei
siła sprężynująca	zhui-liu
siła umysłowa	gan-jin
siłownia	shuai-shuo-niu
skakać	lio
skarpetki	jie-zhui
skała	yano-tian
sklep	ting-tui
sklep spożywczy	cong-kuo-hua
sklep z butami	mao-kua
sklep z czapkami	ren-da-chun
sklep z torbami	rang-gen
sklep z ubraniami	man-mian-xiang
skomplikowany	quan-nuan
skoncentrowany	tong-ken
skorupiak	beo-za
skosztować	chang-yong
skończyć	ti
skracać	ang-ying
skrobać	fen-shuo
skrobać (terapia)	fen-shuo
skromność	tu-fen
skrucha	beio-mou
skrzypce chińskie	ping-mie
skręcenie	mo-rua
skupiony	bu-ba
skutek	cun-kuang
skwar	shai-qi
skóra	dang
skórka mandarynki	guoo-gao
skórka owocu	duano-ri
skąd	hen-rǎo
składać	dun-mang
składać (papier	dun-mang
składać (papier, tkaninę)	dun-mang
smaczny	jiu-long
smaczny (umami)	jiu-long
smak	feng-su
smalec	gao-qie
smarować	qie-wa
smarować (farbą)	qie-wa
smażony	da-wang
smażony (stir-fry)	da-wang
smażony makaron	miano-zou
smażyć do sucha	shio-cheng
smażyć na dużym ogniu	da-dui
smażyć warzywa	da-zhuan
smocza Pięść	niao-bao
smoczy żółw	guio-chan
smok	lian
smutek	beio-zhang
smutek, zmartwienie	beio-zhang
smutny	beio-nian
soja	caio-huang
sokół	yingo-tou
sokół treser	cong-wang
sos sojowy	yoo-xiao
sosna	songo-jiu
sowa	yaoo-mao
spadająca gwiazda	guango-sun
sparring z partnerem	qiang-tui
spać	ka
spaść	ga-juan
specjalny	nuo-ken
specjalny, szczególny	nuo-ken
spichlerz	heng-nen
spierać się	hou-hen
spisek	cun-ze
spisek, intryga	cun-ze
spięty	nun-zhuo
spodnie	ha-shui
spokojny	ango
spokój	ango-zhan
sport	wan-gang
sposób	chai-mie
sposób myślenia	zong-kuang
sposób, metoda	chai-mie
spotkać się	chuo-long
społeczeństwo	jiu-zheng
spragniony	pin
sprawa	mian-ao
sprawa, rzecz	mian-ao
sprawiedliwość	han-tou
sprawiedliwość	tuo-cheng
sprawiedliwy	ke-zui
sprzeciwiać się	shen-shuan
sprzeczność	lei-bo
sprzedawać	baio
sprzedawca	duan-he-hua
sprzedać	miao-xin
sprzątać	can-xiong
sprzęt	mao-kuo
spódnica	kan-xuan
spór	dang-hang
spłacić dług	re-jie
srebrnik	kuai-zun
srebrny	liu-ye
srebro	shun-den
srebro (jako waluta)	shun-den
srebroszary	fu-qia
sroka	queo-zha
stabilność	qu-ci
stabilny	sheng-liao
stabilny, niewzruszony	sheng-liao
stacja	fang-zui-lun
stagnacja Miu-Du	sun-wan
stan	zhui-lou
stan, warunki	zhui-lou
starannie	tiao-ne
starożytna	hun-bang
starożytne Królestwo	zan-wa
starożytność	cui-tuan
starsza siostra	quan-xun
starszy współuczeń	ma-xie
starszy współuczeń (mężczyzna)	ma-xie
stary	dun
statek	ha-jing
statek handlowy	shua-min
statek, łódź	ha-jing
staw	man-zui
stawać się	yu-fa
stawać się, zostawać	yu-fa
staza krwi	bi-dan
stać	la
stały	hui-leng
stały, niezmien ny	hui-leng
step	zhuo-reng
sto	ang-neng
sto tysięcy	man-chai
stolarz	xin-hou
stolarz, cieśla	xin-hou
stopa	chan
stopiony	cai-a
stopnie	po-min
stosować	fou-ti
stosować (zewnętrznie)	fou-ti
stołek	zuo-deng
stożkowaty	zhou-kang-yin
strach	ru-she
strach (rzeczownik)	ru-she
stracić	ruo-zheng
straszny	ru-tuo
strata	er-ba
strategia	chuang-peng
strażnik	ding-sang
strażnik, protektor	ding-sang
strzała	biaoo
strzelać z łuku	qiong-mao
strzemiona	tai-fa
strój kung	ne-nang-ha
strączki fasolowe	kan-zhuo
student	xiaoo-zhuang
styl	weng-nie-jin
styl Kung Cuan-Se	qian-zi-run
styl podobny do Muay	mei-kuan-xu
styl podobny do Shotokan	ju-guan-dian
stół	sha-dia
stół jadalny	shou-bin
stęchły	nuan-duan
stłumiony	miao-mai
subtelny	zha-mang
sucha energia	qio-sou
suchy	shio-ge
sufit	sui-jiang-ju
sugestia	ban
sugestia/potwierdzenie	ban
sugestia/potwierdzenie (marker)	ban
sui-Tun	keng-cui
sui-Tun dole	luo-du
sui-Tun pewno	reng-bin
sukces	nai-pian
suknia wieczorowa	shuo-zhuo
suknia ślubna	bie-pang
suma	nang-hui
supermarket	shang-diao
surna	ei-pang
surowy	sheng
susza	hano-tian
suszyć na słońcu	yun-xiong
sweter	tuan-shua
swędzieć	xian-gai
symetryczny	sa-ling
symptom	guan-mie
syn	eng-chuai
syn Niebios	mei-ta
syn Niebios (tytuł władcy)	mei-ta
syndrom gorąca	qio-mian
syndrom nadmiaru	che-ao
syndrom niedoboru	ni-lian
syndrom zimna	qio-tong
sypialnia	duo-wan
syriusz	guango-ao
syriusz (gwiazda)	guango-ao
system korzeniowy	que-bian
sytuacja	nie-zhuai
sytuacja, okoliczności	nie-zhuai
szabla	fen-mai
szabla, miecz	fen-mai
szacunek	rongo-cao
szafa	eng-shu
szafir	sang-te-geng
szal	si-mo
szale	ga-cong
szalik	sun-cu
szanować	cao-huan
szanowny	dun-fou
szanowny pan	muo-song
szanowny panie	ka-xin
szanowny panie (urzędnik)	ka-xin
szansa	wang-shen
szansa, okazja	wang-shen
szanujące)	cheng-chen
szarańcza	mai-bai
szary	fu-qiong
szarża	chu-fang
szczególny	nuo-ken
szczególny	wu-nu
szczegółowy	zhun-sang
szczur	rao-fu
szczur	rao-mo
szczypce	tang-bai
szczypior	pian-cuan
szczyt góry	si-hou
szczęście	huano
szczęście	huano-wang
szczęśliwy	huano-tai
szczęśliwy, wesoły	huano-tai
szef	wu-jia
szelest	zhen-ba
szeptać	gong-qiao
szeregować	qu-pao
szeroki	bei-hui
szerokość	zen-zen
sześciokątny	shi-xian-zha
sześć	ne-bi
sześćdziesiąt	lu-xi
sześćset	shu-lan
szkoła	de-zhai
szkoła konfucjańska	shen-cong
szkoła taoistyczna	gang-pu
szlachetna konkubina	tie-tao
szlachetny	gui
szlachetny mąż	chou-zhen
szlachetny, arystokratyczny	gui
szmaragd	o-ming-nie
szmaragdowy	bo-lie
sznur	ting-cen
sznur, lina	ting-cen
szorować	cong-lou
szorstki	rui-zhuo
szpik kostny	kuang-liang
szpilka	chen-bei
szpilka do włosów	jiong-kuan
szpinak	caio-kao
szpital	ke-zha
szron	ling-zong
sztabka srebra	gan-bing
sztandar	miu-du
sztandar, chorągiew	miu-du
sztorm	chai-duan
sztuka	guai-chan
sztuka ręki	jun-qi
sztuka ręki (japoński termin	jun-qi
sztuka ręki (japoński termin, ale używany)	jun-qi
sztuka walki	tun-dia
sztuka walki kijem	kun-wa
sztuka walki mieczem	xin-heng
sztuka walki szablą	ken-liao
sztuka walki włócznią	qing-ning
sztuki	ma-zuan
sztuki piękne	zan-de
szukać drogi	nue-ze
szukać drogi, dążyć do celu	nue-ze
szybki	gai
szybko smażyć	da-ri
szyja	eng-jin
szyk bojowy	lu-bing
szósty	zai-ji
sądzić	nong-wai
sądzić	zen-fu
sądzić, proces	zen-fu
sąsiad	biao-huai
sędzia	nen-jun
słaby	han
sławny	dong-zei
słodki	jun
słodki	niang-zou
słodki sos fasolowy	yoo-xin
słodko-kwaśne	kao-bo
słony	kao
słowo	jian-ye
słoń	xio
słońce	guango
słuch	zhui-ai
słuchacz	chuo-zui
słuchanie siły	mian-lou
słuchać	fu
słyszeć	fo
taca do herbaty	shuang-mao
taczka	xu-gan-dei
tajemniczy	gai-zhai
tajfun	fengo-chou
tak	en
taki sam	an-nao
taktyka	mao-xie
talent	xin-li
talerz	long-chuai
tamci	hu-dou
tani	liao-re
taniec	lao-bi
taoista	ti-cou
taoistyczny kapłan	xin-duo
taoizm	qie-bu
tarcza	ci-ne
targ warzywny	pi-shan-zha
targować się	qiang-pu
tathagata	hai-fei
tańczyć	lao-za
tchórzliwy	zui-keng
tchórzostwo	xu-bo
teatr	qu-zhan
technika	bang-zang
technika ciała	weng-liu
technika ciała, ruch	weng-liu
technika miecza	jie-lian
technika nóg	tao-heng
technika pięści	yan-zuan
technika szabli	wei-heng
technika włóczni	fen-fang
techniki ręczne	hui-guai
tekstura	he-fou
telewizja	hang-gun
temperatura	weno-keng
ten	chai-cen
teoria	pian-chua
teoria Pięciu Elementów	cheng-ni-pai
terapia	yang-zhai
terapia manipulacyjna	hao-chuan
terapia medyczna	cao-liang
teraz	nun
teraźniejszość	sang-mu
terminy solarne	tun-zhang
terminy solarne (24)	tun-zhang
też	yueo
też dobrze	zhang-nie
tkacz	sa-liu
tkaninę)	dun-mang
tkać tkaninę	jun-sang
tofu	caio-zha
tolerancyjny	la-seng
tolerancyjny, wyrozumiały	la-seng
topaz	tai-dou
topnienie	niao-pan
torba	cao-gou
torba, worek	cao-gou
torebka zapachowa	cun-li
tornado	fengo-de
towary	shai-ju
towarzysko obcować	quan-zhuang
towarzysz	mie-mi
tradycja	ba-wang
tradycyjna medycyna chińska	xun-cui
trafić	huo-da
tragedia	ri-zan
transakcja	cha-jiong
transakcja	jian-lang
trasa	jue-hong
tratwa	ke-yun
trawa	xino
trawnik	ang-nuo
trenować	gong-zuan
trenować	niang-chi
trochę	xun
troskliwy	kao-dao
troskliwy, dbający	kao-dao
trudne testy	kuo-nie-gui
trudno	laio-shun
trudno (adverbialnie)	laio-shun
trudno (przysłówek)	laio-shun
trudno powiedzieć	jian-yan-pei
trudny	laio
trujący grzyb	nei-sui
truskawka	guoo-le
trwać	zhuang-en
trzask	tuo-lao-suan
trzask, łoskot	tuo-lao-suan
trzeci	se-duan
trzy	cen-cao
trzy skarby	ying-liu
trzy zasady	huai-yu
trzydzieści	chen-yue
trzymaj się! Dalej!	nuan-shan
trzymać	chu
trzęsienie ziemi	zheno-nuan
trójkątny	gua-lan-wai
trąba powietrzna	ceng-ha
tsunami	haio-qu
tu	kuan-kua
tusz	gu-chua
tusz	zhio-chu-o
tusz w sztabce	sha-wei
tutaj	kuan-kua
twarda siła	ti-chuo
twarde drewno	ka-zheng
twardy	jino
twierdza	hen-sen
tworzyć	ze
ty	nio
tydzień	qie-ban
tyka	miu-nin
tyka, drążek	miu-nin
tykwa	keng-reng
tylko	sun
tym razem	tan-guai
tymczasowy	luo-gai
tysiąc	tang-nin
tysięcznik	fang-jin
tęcza	hongo-ang
tęsknić za	lei-zhen
tłumacz	nei-he-ren
tłuste mięso	rouo-zeng
ubierać się	jie-fo
ubolewać	nai-zi
ubranie	hang
ucho	chou
uciec	nou-en
uczciwość	bing-jie
uczestniczyć	qu-xiao
uczeń	ma-cha
uczeń osobisty	ma-rong
uczeń, adept	ma-cha
uczony	kai-du
uczony człowiek	se-li
uczony, literat	kai-du
uczony-kandydat	ka-ting
uczucie	huo-pie
uczucie (dotyk)	huo-pie
uczucie rodzinne	jun-tuo
uczyć	ma
uczyć się	ma-lu
uderzać pięścią	zuo-zen
uderzenie w punkt akupunkturowy	zai-lian
uderzenie z fintą	zeng-niu-miu
uderzenie z fintą (wschód-zachód)	zeng-niu-miu
uderzyć	ou
udo	mei-gen
ugniatać	sui-qu
ugotowany	mou-tao
ujście rzeki	pan-fa
ukarać	jue-pa
ukojenie	yin-gai
ukończyć	lei-zhuai
ukośna w lewo	nin-ding
ukryta broń	niang-ning
ukryty smok	tigo-ge
ukryty smok, czający się tygrys	tigo-ge
ukryty smok, czający się tygrys (idiom)	tigo-ge
ukryć	cun
ulewny deszcz	yuo-pang
ulica	ke-chi
ulka	nun-jiao
ulka, dzban	nun-jiao
umiarkowanie	mei-chi
umiejętność	gang-bin
umiejętność, wysiłek, kung cuan-se	gang-bin
umiłowanie	deng-ya
umowa	yong-huo
umrzeć	pu
umysł duchowy	bin-gua
umysłu	cu-ti
umysłu	xiang-zhang
uniform	jin-zhao
unikalny	yao-na
unikać	zhua-lai
uniwersytet	xiong-ning
upaść	shu-chai
upić się	ju-lou
uporządkowany	pin-jiang
uporządkowany, schludny	pin-jiang
uprawiać hazard	biao-yun
uprawy	long-qiao-zan
uprzejmy	xiu-cen
upuścić	caoo
uraza	ting-jia
uraza, pretensja	ting-jia
uroczo piękny	qiang-kou
uroczy	niang-zou
uroczy, słodki	niang-zou
urodziny	ren-nong
urwisko	yao-xiang
urzędnik	ga-mie
urzędnik departamentu	miao-rou-kua
uspokojony	qian-shen
usta	chui
uszko Judasza	zuo-chao
uszkodzony	men-da
uszkodzony	mou-kui
uszkodzony, zepsuty	mou-kui
usłyszeć	qi-kai
utrzymywać	can-xiang
utrzymywać, konserwować	can-xiang
utwór	juan-tuo
uważać że	nong-wai
uważać że, sądzić	nong-wai
uznanie	dai-pai
uznawać	dang-zhong
uzyskać	yin-wen
uśmiechać się	tao-bin
użyj miękkości	ci-die
użyj miękkości, aby pokonać twardość	ci-die
w dół	yang-sa
w końcu	qian-zang
w ogóle	shi-ben
w pobliżu	wu-hong
w porządku	zhang-nie
w porządku, też dobrze	zhang-nie
wachlarz	du-luo
waga	bai-nang
wakacje	qiu-chai
walczyć	nu
walić młotem	lang-ka
walka	luo-di
wapień	nano-hong
warstwa	cuo-pang
wartościować	nou-ju
wartość	chao-guan
warunki	zhui-lou
warzywo	caio
warzyć	shun-bu
wasza Wysokość	jie-chuo
ważka	dan-nan
ważność	nie-nai-mai
ważny	liuo
wcześnie	lian-shuan
wcześniejszy	sang-xiao
wczoraj	gong-de
wdzięczność	mi-ben
wdzięczność (głęboka)	mi-ben
według	zhuang-wei
według, na podstawie	zhuang-wei
wega	guango-die
wega (tkaczka	guango-die
wega (tkaczka, gwiazda)	guango-die
wejść	xu
weranda	chuan-jiu
wesoły	huano-tai
wewnątrz	eng-den
wewnętrzna	yan-mie
wewnętrzna alchemia	hui-jie
wewnętrzna moc	xiaoo-ce
wewnętrzna siła	chuo-chuo
wewnętrzny uczeń	ma-nan
wewnętrzny-zewnętrzny	bian-pian
wełna	tui-tiao
wiadomości	ceng-feng
wiadomość	shuang-zhan
wiadomość, informacja	shuang-zhan
wiadro	xiaoo-lou
wiara	te-teng
wiara, przekonanie	te-teng
wiatr	fengo
wicegenerał	kao-en
wicehrabia	ruo-zei
wiceminister	ta-song
wicher	shai-you
wiciokrzew japoński	jia-dou-che
widelec	chui-nong
widzieć	ero
wieczór	juan
wiedzieć	ga
wiedzieć jak	huan-pin
wielbłąd	shi-hai
wielka	sun-hui-bu
wielki Mistrz	kuai-ben
wielki Turniej Dziedzictwa Fengzhana	shan-zui-rong
wielki Wóz	sou-zai
wielki Wóz (konstelacja)	sou-zai
wielki chłód	zong-fen
wielki człowiek	rong-wang
wielki człowiek (tytuł)	rong-wang
wielki generał	kong-dia-rua
wielki nauczyciel	ma-chuo
wielki nauczyciel (tytuł)	ma-chuo
wielki opiekun	ou-jiao
wielki opiekun (tytuł)	ou-jiao
wielki upał	reng-zui
wielokrotnie powtarzać	ding-ke
wielokątny	cuan-zhui
wieloryb	haio-kai
wieprzowina	rouo-cai
wierność	mo-chou
wierność, lojalność	mo-chou
wiersz	tao-fou
wiertło	cong-piao
wierzba	zhun-nin
wierzchnie ubranie	shuang-reng
wierzyć	yi-peng
wieszać	hun-long
wieszać, zawieszać	hun-long
wieś	chan-di
wilgotna energia	qio-zui
wilgotny	shio-wai
wilgotny, mokry	shio-wai
wilk	laio-lie
willa	bie-peng
winny	xiong-ruan
wino	geng
wino	geng-peng
winogrona	geng-lian
wioska	tui
wiosna	gei-bao
wisiorek z jadeitu	duo-gu
więc	suo
więcej	shun-qin
więzienie	rong-qie
wiśnia	guoo-long
wkrótce	chuang-hun
wkrótce, za chwilę	chuang-hun
wnuczka	mang-han
wnuk	biao-deng
wnuk (od córki)	biao-deng
woda	zhe
wodospad	puo-liao
wojna	nano-zun
wojownik	chai-hun
wojsko	qi-xiao
wojsko (dosł. żołnierze i konie)	qi-xiao
wojskowy	nai-cen
wok	ei-ni
wolna walka	xia-zou
wolność	nano-miao
wolny	geio
worek	cao-gou
wołać	bian-hen
wołowina	rouo-piao
wpaść na pomysł	ruo-ni
wpuścić	lie-xu
wpływ	zao-ding
wracać	cu
wrona	ju-kuo
wrzeszczeć	nong-bie
wrzątek	zhe-heng
wrzątek, gotowana woda	zhe-heng
wróbel	queo-ju
wrócić	kuai-ku
wrócić (tam)	kuai-ku
wróg	sao
wróżbiarstwo	tian-hen
wróżenie z losu	jin-wen
wschód	fang-dong
wschód słońca	keng-la
wspierać	niang-ran
wspinać się	chong-tiao
wspominać	ge-xiu
wspomnienie	hui-ce
współczesność	yi-nen
współczujący	hou-ke
współczujący, litościwy	hou-ke
współpracować	pei-shao
współuczeń	ma-sen
współuczeń (ogólnie)	ma-sen
wstawać	hang-nuo
wstać	xu-nong
wstać (na nogi)	xu-nong
wstrzymywać	mei-biao
wstrząsać	piao-qin
wstrząsnąć	sui-rong
wstrętny	dun-sa
wstrętny	nang-chuan
wstyd	ou-guai
wstęp	chan-geng
wstęp, początkujący	chan-geng
wszechświat	re-biao
wszyscy	cai-zheng
wszystko	wano
wujek	cai-ken
wujek (brat matki)	cai-ken
wujek-mistrz	kuan-kuan
wujek-mistrz (młodszy brat mistrza)	kuan-kuan
wulkan	huoo-ying
wy	lei
wybierać	dan
wybrzeże	haio-qin
wybór	pian-feng
wybór, selekcja	pian-feng
wychodzić	nang-zhai
wychodzić (z kimś)	nang-zhai
wycierać	you-bing
wyciągać sieć	zui-si
wycofać się	ce-er
wyczerpany	kuan-gun
wyczyny bojowe	zhuai-den
wydaje się	ying-shun
wydać wyrok	yao-heng
wydra	liang-lie
wyglądać na	ying-shun
wyglądać na / wydaje się	ying-shun
wyglądać na, wydaje się	ying-shun
wygnanie	qin-dei
wygodny	ceng-zun
wygodny	se-qi
wygodny, dogodny	ceng-zun
wygłaszać	e-liao
wyjaśniać	suan-zeng
wyjechać	sun-jin
wyjść	ya
wymieniać	cheng-suan
wymiotować	min-ling
wynalazek	ei-ruo
wyniosły	ceng-qia
wyobrażać sobie	tang-dian
wyprostowany	ying-gang
wypuszczenie siły	kang-biao
wypytywać	nun-mie
wypytywać (o objawy)	nun-mie
wypłynąć	ye-dong
wyrabiać ceramikę	geng-fan
wyrafinowany	lu-bao
wyraźny	cha-suo
wyraźny, określony	cha-suo
wyrażać	mie-tang
wyrażać (uczucia	mie-tang
wyrażać (uczucia, myśli)	mie-tang
wyrozumiały	la-seng
wyrzucać	cha-huang
wyrzucić	ge-tan
wysiłek	gang-bin
wysoki	gen
wysokość	gen-du
wyspa	haio-mei
wyspa morska	haio-dang
wysyłać	gong-ce
wysyłać list	ji-diao
wysłannik	yu-ga
wytrwałość	zhuang-en
wytrwałość, trwać	zhuang-en
wytrzeć do sucha	shio-sun
wywodzić się	rǎo-ci
wyzwanie	che-ze
wyśmienity	o-yang
wzdychać	liao-qiao
wziąć	du
wziąć	lan-ba
wzmacniać	zuan-zhuang
wznawiać	niang-xin
wznawiać, przywracać	niang-xin
wznieść się	zhun-sun
wznieść się wysoko	sio
wznieść toast	dao-eng
wznosić	cheng-lu
wznosić (budowlę)	cheng-lu
wzorzec	kui-gong
wzrastać	cen-zhuan
wzrok	zui-ka
wzruszenie	chu-cao
wzywać	nong-bin
wzór	nue-nou
wzór, dekoracja	nue-nou
wóz	quan-wa
wóz wołowy	xiang-o
wóz, pojazd	quan-wa
wózek	zan-ning
wół	bing-wo
wąchać aromat	se-seng
wąski	yu-jun
wąskohoryzontalny	bei-den
wąskość	jian-du
wąsy	yao-ru
wąwóz	wu-ding
wąż	sheo-xie
węch	ao-ha
wędka	kuang-ce
wędrować	lian-cong
wędrować, zwiedzać	lian-cong
wędzić	wo-nang
władca	zhun-cui
władca, monarcha	zhun-cui
władza	zong-zong
władza, prawo	zong-zong
właściciel sklepu	zhuai-quan
właśnie	shou-bei
właśnie (w trakcie)	shou-bei
włosy	xian-dong
włosy na głowie	hen-lun
włócznia	sui-kuai
ya-Ju	hua-biao
ying-Gang	shi-dong
yu-hua	yu-hua
yu-hua (język)	yu-hua
z	rǎo
z przodu	ma-ti
z tyłu	dong-chang
z wiatrem	fengo-bi
z, od	rǎo
z, od (źródło)	rǎo
za bardzo	kang-xiao
za chwilę	chuang-hun
za każdym razem	nuo-er
zaatakować	jian-nan
zabawka	ca-mi
zabierać	gou-mao
zabić	pi
zabrudzony	bie-jing
zabrudzony, zanieczyszczony	bie-jing
zachowywać	zhui-sao
zachowywać, przechowywać	zhui-sao
zachód	fang-xi
zachód słońca	yin-dia
zachęcać	bin-ze
zacząć	te
zadanie	cang-jiu
zadowolenie	huano-kui
zadowolenie, satysfakcja	huano-kui
zadowolony	huano-zhang
zagajnik	ding-suo
zagajnik bambusowy	zhuo-gei
zagubienie	dia-hen
zagubienie, konfuzja	dia-hen
zainteresowany	chan-gan-duan
zakazywać	ru-lian
zakonnica	da-fei
zakrzywiony	kua-niao
zamarzanie	kuang-zhun
zamek	ca-gou
zamglony	cao-hun
zamiar	geng-heng
zamiar, cel	geng-heng
zamiatać	luan-xia
zamiatać podłogę	pen-xin
zamieć	shuo-yin
zamknąć	tao
zamknąć na klucz	sao-que
zamęt umysłowy	ying-ke
zanieczyszczenie	dou-ci-wu
zanieczyszczony	bie-jing
zapach	lao-nuo
zapach dymu	pei-die
zapach mięsa	bin-za
zapach ziół	que-ying
zaparcia	dou-bin
zaparzać herbatę	pang-kuan
zapał	za-qing
zapisywać	bian-deng
zapisywać, rejestrować	bian-deng
zapobiegać	muo-jiang
zapomnieć	gong-kuai
zapomnieć całkowicie	zeng-ding
zapraszać	guan-shao
zaprzeczać	fa-wu
zapłacić	cui-de
zaraz	chun-xue
zaraz, natychmiast	chun-xue
zarzucać sieć	ju-zhan
zarządca powiatu	zhui-lai
zarządzać	zhuang-gong
zasada	cha-cun
zasady Niebios	se-lei
zasadzka	ming-wo
zaskoczenie	she-xia
zasoby	beng-rou
zastój krwi	weng-yuan
zastępca przywódcy	den-ao-qun
zastępować	nei-ping
zasłona	lie-luan
zasłona, namiot	lie-luan
zasługa wojenna	hou-fen
zatoka	haio-ri
zatrucie	yin-ne
zatrzymać	zuo-huan
zatwierdzać	nano-juan
zaufanie	bie-keng
zauważyć	song-dong
zauważyć, zwracać uwagę	song-dong
zawiadomienie	gang-chun
zawias	qu-yue
zawieszać	hun-long
zawiniątko	suan-o
zawroty głowy	shou-dao
zawsze	yong
zazdrość	cuan-bin
zazdrość (rzeczownik)	cuan-bin
zazwyczaj	man-bei
zaćmienie słońca	mo-dan
zbierać	chu-pei
zbocze	dian-pang
zboże	sha-teng
zbrodniarz	chua-shan
zbroja	dian-ben
zbroja, pancerz	dian-ben
zbyt	kang-xiao
zbyt, za bardzo	kang-xiao
zdający egzamin cesarski	nin-hang
zdanie	lue-zhen
zdawać sobie sprawę	pan-ren-liang
zdecydowanie	tian-ha
zdenerwowany	dan-biao
zdenerwowany	nun-zhuo
zdenerwowany, spięty	nun-zhuo
zdobyć	zhu-dun
zdobyć, otrzymać	zhu-dun
zdolność	ti-de
zdrada	pu-tong
zdrajczy	reng-wa
zdrowia	nuo-zong-sou
zdrowia (dosł. ciało zdrowe)	nuo-zong-sou
zdrowy	qin
zegarek	chen-chun
zemścić się	mei-wu
zepsuty	mou-kui
zestaw dzwonów	liao-nen
zewnątrz	shan-cuan
zewnętrzna	tuo-bo
zewnętrzna alchemia	chun-ming
zewnętrzna moc	kou-hai
zewnętrzna siła	ming-shan
zewnętrzny uczeń	ma-kuang
zezwalać	can-ling
zgadywanie zagadek	zu-zai
zgadzać się	ge-nuo
zgrubny	nano-xu
zgubić	muo-dia
zgłaszać	fang-tou
zielona herbata	gango-lao
zielona trawa	xino-liu
zielone warzywa	nano-qie
zielony	nano
ziemia	yan
ziemia orna	diio-rui
ziemniak	caio-dun
zima	nen-jing
zimna energia	qio-bao
zimna rosa	wuo-jiao
zimny	weno-fei
zimorodek	en-luan
zioła	zhao-ruo
zioła lecznicze	shuan-zu
zirytowany	dan-biao
zirytowany, zdenerwowany	dan-biao
zięć	jiong-gong
zjednoczone Trony Wschodu	bie-meng
zmartwienie	beio-zhang
zmartwienie	chuo-niang
zmartwienie, niepokój	chuo-niang
zmiana klimatu	qio-dao-na
zmieniać	yue-you
zmieniać się	yao-ying
zmienić	dai
zmienny	chai-xun
zmierzch	ku-ge
zmniejszać	chou-jie
zmywać naczynia	kao-sun
zmęczenie	chua-cheng
zmęczenie	chua-gui
zmęczyłeś się	ou-ya-dun
zmęczyłeś się (współczucie)	ou-ya-dun
znaczenie	kun-hong
znaczenie, sens	kun-hong
znać	tao-kang
